N_Queens,fitness,iterations,time_in_seconds
9,-0.0,10,0.65625
9,-0.0,0,0.046875
9,-0.0,0,0.03125
9,-0.0,0,0.046875
9,-0.0,10,0.640625
9,-0.0,10,0.65625
9,-0.0,0,0.03125
9,-0.0,10,0.640625
9,-0.0,10,0.640625
9,-0.0,10,0.640625
9,-0.0,10,0.640625
9,-0.0,10,0.640625
9,-0.0,10,0.640625
9,-0.0,10,0.65625
9,-0.0,10,0.640625
9,-0.0,10,0.640625
9,-0.0,0,0.046875
9,-0.0,10,0.640625
9,-0.0,0,0.046875
9,-0.0,10,0.640625
9,-0.0,0,0.046875
9,-0.0,10,0.640625
9,-0.0,10,0.640625
9,-0.0,0,0.046875
9,-0.0,0,0.03125
9,-0.0,10,0.640625
9,-0.0,10,0.65625
9,-0.0,0,0.03125
9,-0.0,0,0.046875
9,-0.0,0,0.046875
9,-0.0,10,0.640625
9,-0.0,10,0.640625
9,-0.0,10,0.640625
9,-0.0,10,0.640625
9,-0.0,0,0.046875
9,-0.0,10,0.640625
9,-0.0,10,0.640625
9,-0.0,10,0.640625
9,-0.0,10,0.640625
9,-0.0,10,0.640625
9,-0.0,10,0.65625
9,-0.0,10,0.640625
9,-0.0,10,0.640625
9,-0.0,10,0.640625
9,-0.0,10,0.640625
9,-0.0,10,0.640625
9,-0.0,0,0.046875
9,-0.0,0,0.03125
9,-0.0,10,0.65625
9,-0.0,0,0.046875
9,-0.0,10,0.640625
9,-0.0,10,0.640625
9,-0.0,10,0.65625
9,-0.0,10,0.640625
9,-0.0,10,0.65625
9,-0.0,10,0.640625
9,-0.0,10,0.640625
9,-0.0,10,0.640625
9,-0.0,0,0.046875
9,-0.0,10,0.640625
9,-0.0,10,0.640625
9,-0.0,10,0.640625
9,-0.0,10,0.65625
9,-0.0,0,0.046875
9,-0.0,10,0.640625
9,-0.0,10,0.640625
9,-0.0,10,0.640625
9,-0.0,10,0.640625
9,-0.0,0,0.046875
9,-0.0,10,0.65625
9,-0.0,0,0.046875
9,-0.0,10,0.640625
9,-0.0,10,0.640625
9,-0.0,10,0.65625
9,-0.0,10,0.640625
9,-0.0,10,0.640625
9,-0.0,10,0.640625
9,-0.0,10,0.640625
9,-0.0,10,0.625
9,-0.0,10,0.65625
9,-0.0,10,0.640625
9,-0.0,10,0.640625
9,-0.0,10,0.640625
9,-0.0,10,0.640625
9,-0.0,0,0.046875
9,-0.0,0,0.046875
9,-0.0,10,0.65625
9,-0.0,10,0.640625
9,-0.0,10,0.640625
9,-0.0,10,0.75
9,-0.0,10,0.828125
9,-0.0,10,0.703125
9,-0.0,10,0.703125
9,-0.0,10,0.703125
9,-0.0,10,0.640625
9,-0.0,10,0.65625
9,-0.0,10,0.65625
9,-0.0,10,0.640625
9,-0.0,0,0.03125
9,-0.0,10,0.640625
9,-0.0,10,0.65625
9,-0.0,0,0.03125
9,-0.0,10,0.65625
9,-0.0,10,0.640625
9,-0.0,10,0.640625
9,-0.0,0,0.03125
9,-0.0,0,0.046875
9,-0.0,10,0.640625
9,-0.0,0,0.046875
9,-0.0,0,0.046875
9,-0.0,10,0.640625
9,-0.0,10,0.65625
9,-0.0,0,0.046875
9,-0.0,10,0.625
9,-0.0,10,0.640625
9,-0.0,10,0.65625
9,-0.0,10,0.640625
9,-0.0,0,0.046875
9,-0.0,0,0.03125
9,-0.0,10,0.65625
9,-0.0,10,0.640625
9,-0.0,10,0.640625
9,-0.0,10,0.640625
9,-0.0,10,0.640625
9,-0.0,10,0.65625
9,-0.0,10,0.640625
9,-0.0,10,0.640625
9,-0.0,0,0.046875
9,-0.0,10,0.640625
9,-0.0,10,0.640625
9,-0.0,0,0.046875
9,-0.0,10,0.65625
9,-0.0,10,0.640625
9,-0.0,10,0.640625
9,-0.0,0,0.046875
9,-0.0,0,0.046875
9,-0.0,0,0.046875
9,-0.0,10,0.640625
9,-0.0,0,0.046875
9,-0.0,10,0.640625
9,-0.0,0,0.046875
9,-0.0,10,0.65625
9,-0.0,10,0.65625
9,-0.0,10,0.640625
9,-0.0,10,0.671875
9,-0.0,0,0.046875
9,-0.0,0,0.046875
9,-0.0,10,0.65625
9,-0.0,10,0.65625
9,-0.0,10,0.640625
9,-0.0,0,0.046875
9,-0.0,10,0.640625
9,-0.0,10,0.65625
9,-0.0,0,0.03125
9,-0.0,10,0.65625
9,-0.0,10,0.65625
9,-0.0,10,0.65625
9,-0.0,10,0.640625
9,-0.0,10,0.65625
9,-0.0,0,0.046875
9,-0.0,10,0.625
9,-0.0,10,0.65625
9,-0.0,10,0.640625
9,-0.0,10,0.640625
9,-0.0,10,0.65625
9,-0.0,10,0.640625
9,-0.0,10,0.65625
9,-0.0,0,0.03125
9,-0.0,0,0.046875
9,-0.0,10,0.65625
9,-0.0,10,0.640625
9,-0.0,0,0.046875
9,-0.0,0,0.046875
9,-0.0,10,0.65625
9,-0.0,0,0.046875
9,-0.0,0,0.046875
