N_Queens,fitness,iterations,time_in_seconds
8,-0.0,0,0.03125
8,-0.0,10,0.609375
8,-0.0,0,0.03125
8,-0.0,0,0.046875
8,-0.0,10,0.578125
8,-0.0,10,0.59375
8,-0.0,10,0.59375
8,-0.0,10,0.59375
8,-0.0,10,0.59375
8,-0.0,10,0.59375
8,-0.0,0,0.03125
8,-0.0,0,0.046875
8,-0.0,0,0.03125
8,-0.0,0,0.046875
8,-0.0,10,0.59375
8,-0.0,0,0.03125
8,-0.0,0,0.046875
8,-0.0,10,0.578125
8,-0.0,0,0.046875
8,-0.0,0,0.03125
8,-0.0,10,0.59375
8,-0.0,10,0.59375
8,-0.0,10,0.578125
8,-0.0,0,0.046875
8,-0.0,0,0.03125
8,-0.0,10,0.59375
8,-0.0,0,0.03125
8,-0.0,0,0.046875
8,-0.0,10,0.59375
8,-0.0,10,0.59375
8,-0.0,0,0.03125
8,-0.0,10,0.59375
8,-0.0,0,0.03125
8,-0.0,10,0.59375
8,-0.0,0,0.03125
8,-0.0,10,0.59375
8,-0.0,0,0.03125
8,-0.0,10,0.59375
8,-0.0,10,0.59375
8,-0.0,0,0.03125
8,-0.0,0,0.046875
8,-0.0,10,0.578125
8,-0.0,10,0.59375
8,-0.0,0,0.03125
8,-0.0,0,0.046875
8,-0.0,0,0.03125
8,-0.0,10,0.59375
8,-0.0,10,0.578125
8,-0.0,10,0.59375
8,-0.0,0,0.03125
8,-0.0,0,0.03125
8,-0.0,0,0.03125
8,-0.0,10,0.59375
8,-0.0,0,0.03125
8,-0.0,0,0.046875
8,-0.0,10,0.578125
8,-0.0,10,0.59375
8,-0.0,0,0.03125
8,-0.0,10,0.59375
8,-0.0,10,0.59375
8,-0.0,10,0.59375
8,-0.0,10,0.59375
8,-0.0,10,0.578125
8,-0.0,0,0.046875
8,-0.0,10,0.640625
8,-0.0,10,0.59375
8,-0.0,10,0.59375
8,-0.0,0,0.046875
8,-0.0,10,0.578125
8,-0.0,0,0.046875
8,-0.0,0,0.03125
8,-0.0,0,0.046875
8,-0.0,0,0.03125
8,-0.0,10,0.609375
8,-0.0,10,0.609375
8,-0.0,0,0.03125
8,-0.0,10,0.609375
8,-0.0,0,0.046875
8,-0.0,10,0.609375
8,-0.0,10,0.59375
8,-0.0,0,0.03125
8,-0.0,10,0.59375
8,-0.0,0,0.046875
8,-0.0,0,0.03125
8,-0.0,0,0.046875
8,-0.0,10,0.59375
8,-0.0,10,0.59375
8,-0.0,10,0.5625
8,-0.0,0,0.046875
8,-0.0,10,0.609375
8,-0.0,10,0.59375
8,-0.0,0,0.046875
8,-0.0,10,0.59375
8,-0.0,0,0.03125
8,-0.0,0,0.046875
8,-0.0,10,0.578125
8,-0.0,0,0.046875
8,-0.0,0,0.03125
8,-0.0,0,0.046875
8,-0.0,0,0.03125
8,-0.0,0,0.046875
8,-0.0,0,0.03125
8,-0.0,0,0.046875
8,-0.0,10,0.59375
8,-0.0,0,0.03125
8,-0.0,10,0.59375
8,-0.0,0,0.03125
8,-0.0,0,0.046875
8,-0.0,0,0.03125
8,-0.0,0,0.046875
8,-0.0,10,0.59375
8,-0.0,0,0.03125
8,-0.0,10,0.59375
8,-0.0,0,0.03125
8,-0.0,0,0.046875
8,-0.0,0,0.03125
8,-0.0,10,0.59375
8,-0.0,10,0.609375
8,-0.0,10,0.578125
8,-0.0,0,0.046875
8,-0.0,0,0.03125
8,-0.0,0,0.046875
8,-0.0,0,0.03125
8,-0.0,10,0.59375
8,-0.0,10,0.59375
8,-0.0,10,0.59375
8,-0.0,0,0.03125
8,-0.0,0,0.046875
8,-0.0,0,0.03125
8,-0.0,10,0.59375
8,-0.0,0,0.046875
8,-0.0,10,0.59375
8,-0.0,10,0.5625
8,-0.0,0,0.046875
8,-0.0,0,0.03125
8,-0.0,0,0.046875
8,-0.0,0,0.03125
8,-0.0,10,0.59375
8,-0.0,0,0.046875
8,-0.0,10,0.578125
8,-0.0,10,0.609375
8,-0.0,0,0.03125
8,-0.0,10,0.59375
8,-0.0,0,0.03125
8,-0.0,10,0.59375
8,-0.0,0,0.046875
8,-0.0,0,0.03125
8,-0.0,0,0.046875
8,-0.0,0,0.03125
8,-0.0,0,0.046875
8,-0.0,0,0.03125
8,-0.0,10,0.59375
8,-0.0,10,0.59375
8,-0.0,10,0.578125
8,-0.0,10,0.59375
8,-0.0,0,0.046875
8,-0.0,0,0.03125
8,-0.0,0,0.03125
8,-0.0,10,0.59375
8,-0.0,10,0.59375
8,-0.0,0,0.03125
8,-0.0,0,0.046875
8,-0.0,10,0.59375
8,-0.0,10,0.578125
8,-0.0,10,0.59375
8,-0.0,10,0.609375
8,-0.0,0,0.03125
8,-0.0,10,0.59375
8,-0.0,10,0.59375
8,-0.0,10,0.59375
8,-0.0,10,0.59375
8,-0.0,10,0.609375
8,-0.0,0,0.03125
8,-0.0,10,0.59375
8,-0.0,10,0.59375
8,-0.0,10,0.59375
8,-0.0,10,0.59375
8,-0.0,10,0.578125
8,-0.0,0,0.046875
8,-0.0,10,0.59375
8,-0.0,10,0.609375
